search_keyword,year,count,name,sum,field,sum2,,,,,,,
"""Symbolic data"" OR ""Interval-Valued"" OR ""Histogram-Valued""",2021,7777777,Engineering ,"3,275",Journal of Biological Chemistry ,777,,,,,,,
,2020,"1,206",Computer Science ,"2,789",Expert Systems with Applications ,777,,,,,,,
,2019,975,Medicine and Dentistry ,"1,886",Information Sciences ,777,,,,,,,
,2018,938,Mathematics ,"1,380",Energy and Buildings ,777,,,,,,,
,2017,830,Environmental Science ,993,Gastroenterology ,777,,,,,,,
,2016,867,Agricultural and Biological Sciences ,857,Computational Statistics & Data Analysis ,777,,,,,,,
,2015,798,"Biochemistry, Genetics and Molecular Biology ",793,Applied Soft Computing ,777,,,,,,,
,2014,748,Neuroscience ,754,Journal of Hydrology ,777,,,,,,,
,2013,719,Decision Sciences ,722,Journal of Dairy Science ,777,,,,,,,
,2012,612,Energy ,702,Neuroscience ,777,,,,,,,
,2011,578,,,European Journal of Operational Research ,777,,,,,,,
,2010,450,,,Neurocomputing ,777,,,,,,,
,2009,451,,,Pattern Recognition Letters ,777,,,,,,,
,2008,436,,,Procedia Computer Science ,777,,,,,,,
,2007,388,,,Fuzzy Sets and Systems ,777,,,,,,,
,2006,341,,,Science of The Total Environment ,777,,,,,,,
,2005,293,,,The American Journal of Cardiology ,777,,,,,,,
,2004,222,,,IFAC Proceedings Volumes ,777,,,,,,,
,2003,225,,,Brain Research ,777,,,,,,,
,2002,169,,,Pattern Recognition ,777,,,,,,,
,2001,185,,,Archives of Physical Medicine and Rehabilitation ,777,,,,,,,
,2000,191,,,Physiology & Behavior ,777,,,,,,,
,1999,150,,,American Journal of Obstetrics and Gynecology ,777,,,,,,,
,1998,194,,,Energy ,777,,,,,,,
,,,,,Measurement ,777,,,,,,,
